OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,OID1,Value_1,Freq
296,7411,24033.000000000000000,Great Lakes Wet-Mesic Lakeplain Prairie,7411,2411,He Great Lakes Wet-Mesic Lakeplain Prairie,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,7411,Frequent
297,7412,267377.000000000000000,North-Central Interior Sand and Gravel Tallgrass Prairie,7412,2412,He North-Central Interior Sand and Gravel Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7412,Frequent
305,7420,2065374.000000000000000,Northern Tallgrass Prairie,7420,2420,He Northern Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7420,Frequent
306,7421,133037.000000000000000,Central Tallgrass Prairie,7421,2421,He Central Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7421,Frequent
324,7444,88782.000000000000000,Eastern Boreal Floodplain Woodland,7444,2444,Tr Eastern Boreal Floodplain,Tree,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7444,Rare
346,7466,177874.000000000000000,Great Lakes Wooded Dune and Swale,7466,2466,Tr Great Lakes Wooded Dune and Swale,Tree,Riparian,675,Inland Marshes and Prairies,SAF 1: Jack Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7466,Rare
355,7481,40654377.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,7481,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7481,Rare
356,7482,217873.000000000000000,Great Plains Prairie Pothole,7482,2482,He Great Plains Prairie Pothole,Herb,Riparian,650,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,7482,Frequent
362,7488,1997729.000000000000000,Eastern Great Plains Wet Meadow-Prairie-Marsh,7488,2488,He Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,Riparian,650,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,7488,Frequent
380,7517,424104.000000000000000,Paleozoic Plateau Bluff and Talus Woodland,7517,2517,Tr Paleozoic Plateau Bluff and Talus,Tree,Hardwood,663,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000,,7517,Intermediate
381,7518,20303.000000000000000,North-Central Interior Wet Flatwoods,7518,2518,Tr North-Central Interior Wet Flatwoods,Tree,Riparian,673,Hardwood Flatwoods,SAF 65: Pin Oak-Sweetgum,Tree-dominated,Open tree canopy,Deciduous open tree canopy,145,255,115,0.568627000000000,1.000000000000000,0.450980000000000,,7518,Rare
424,7755,518.000000000000000,Agriculture-Cultivated Crops and Irrigated Agriculture,7755,82,Da Agriculture-Cultivated Crops and Irrigated Agriculture,Agriculture,Agricultural,82,Agriculture-Cultivated Crops and Irrigated Agriculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000,,7755,Rare
427,7900,40201.000000000000000,Western Cool Temperate Urban Deciduous Forest,7900,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000,,7900,Rare
428,7901,162.000000000000000,Western Cool Temperate Urban Evergreen Forest,7901,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667000000000,0.400000000000000,0.803922000000000,,7901,Rare
429,7902,15670.000000000000000,Western Cool Temperate Urban Mixed Forest,7902,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000,,7902,Rare
430,7903,176913.000000000000000,Western Cool Temperate Urban Herbaceous,7903,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000,,7903,Rare
431,7904,2310.000000000000000,Western Cool Temperate Urban Shrubland,7904,2917,Dsh Urban Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765000000000,0.670588000000000,0.843137000000000,,7904,Rare
