OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,OID1,Value_1,Freq
306,7421,56939.000000000000000,Central Tallgrass Prairie,7421,2421,He Central Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7421,Frequent
324,7444,88782.000000000000000,Eastern Boreal Floodplain Woodland,7444,2444,Tr Eastern Boreal Floodplain,Tree,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7444,Rare
355,7481,14526518.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,7481,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7481,Rare
356,7482,217873.000000000000000,Great Plains Prairie Pothole,7482,2482,He Great Plains Prairie Pothole,Herb,Riparian,650,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,7482,Frequent
362,7488,1995477.000000000000000,Eastern Great Plains Wet Meadow-Prairie-Marsh,7488,2488,He Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,Riparian,650,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,7488,Frequent
526,9023,4354.000000000000000,Western Great Plains Badlands,9023,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000,,9023,Rare
527,9024,9.000000000000000,Western Great Plains Cliff and Outcrop,9024,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000,,9024,Rare
551,9055,595065.000000000000000,Boreal-Laurentian Bog,9055,2477,Tr Boreal Acidic Peatland Systems,Shrub,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000,,9055,Rare
552,9056,12856996.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,9056,2477,Tr Boreal Acidic Peatland Systems,Tree,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000,,9056,Rare
553,9057,1091668.000000000000000,Boreal-Laurentian-Acadian Acidic Basin Fen,9057,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9057,Rare
559,9064,3.000000000000000,Central Interior Acidic Cliff and Talus,9064,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000,,9064,Rare
560,9065,3.000000000000000,Central Interior Calcareous Cliff and Talus,9065,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000,,9065,Rare
572,9088,868876.000000000000000,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,9088,2344,Tr Boreal Jack Pine-Black Spruce Forest,Tree,Conifer,676,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,9088,Intermediate
573,9089,7031798.000000000000000,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,9089,2365,Tr Boreal White Spruce-Fir Forest,Tree,Conifer,693,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725000000000,0.980392000000000,0.890196000000000,,9089,Intermediate
590,9112,3699997.000000000000000,Laurentian Jack Pine-Red Pine Forest,9112,2246,Tr Laurentian Jack Pine-Red Pine Forest,Tree,Conifer,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,9112,Frequent
591,9113,77.000000000000000,Laurentian-Acadian Acidic Cliff and Talus,9113,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000,,9113,Rare
592,9114,466564.000000000000000,Laurentian-Acadian Alkaline Fen,9114,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9114,Rare
595,9117,1397480.000000000000000,Laurentian-Acadian Floodplain Forest,9117,2475,Tr Laurentian-Acadian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,9117,Rare
596,9118,947373.000000000000000,Laurentian-Acadian Freshwater Marsh,9118,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9118,Frequent
598,9120,4790025.000000000000000,Laurentian-Acadian Wet Meadow,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,783,Wet Meadow,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9120,Frequent
633,9177,320666.000000000000000,North-Central Interior and Appalachian Acidic Peatland Woodland,9177,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,LF 72: Peatland Forests,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,9177,Rare
634,9178,475239.000000000000000,North-Central Interior and Appalachian Rich Swamp,9178,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,9178,Rare
635,9179,956850.000000000000000,North-Central Interior Floodplain Forest,9179,2471,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,9179,Rare
636,9180,1786066.000000000000000,North-Central Interior Freshwater Marsh,9180,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,9180,Frequent
638,9182,48161.000000000000000,North-Central Interior Shrub Alkaline Fen,9182,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,9182,Rare
639,9183,179654.000000000000000,North-Central Interior Shrub Swamp,9183,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000,,9183,Rare
653,9202,1157.000000000000000,Northern Great Lakes Coastal Marsh,9202,2492,He Great Lakes Coastal Marsh Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9202,Frequent
654,9203,36.000000000000000,Northern Great Lakes Interdunal Wetland,9203,2492,He Great Lakes Coastal Marsh Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9203,Frequent
712,9295,225990.000000000000000,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,9088,2544,Tr Boreal Jack Pine-Black Spruce-Hardwood Forest,Tree,Conifer-Hardwood,676,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,9295,Intermediate
720,9312,174476.000000000000000,Northeastern North American Temperate Forest Plantation,9312,2562,Tr Northeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,158,67,14,0.619608000000000,0.262745000000000,0.054902000000000,,9312,Intermediate
721,9314,320331.000000000000000,Northern & Central Native Ruderal Flooded & Swamp Forest,9314,2565,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,Tree,Riparian,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000,,9314,Rare
722,9315,1265410.000000000000000,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000,,9315,Rare
724,9317,544075.000000000000000,Northern & Central Ruderal Shrubland,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Deciduous shrubland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000,,9317,Frequent
725,9318,1608436.000000000000000,Northern & Central Ruderal Wet Meadow & Marsh,9318,2569,He Northern & Central Ruderal Wet Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000,,9318,Frequent
778,9617,114238.000000000000000,Laurentian-Acadian Floodplain Shrubland,9117,2475,Tr Laurentian-Acadian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,9617,Rare
779,9620,2219537.000000000000000,Laurentian-Acadian Shrub Swamp,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000,,9620,Rare
