Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
1628,4695575.000000000000000,14071,Laurentian Pine-Oak Barrens,109,75,5,4,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1629,611883.000000000000000,14072,Laurentian Pine-Oak Barrens-Jack Pine,25,46,18,8,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1630,642281.000000000000000,14110,Great Lakes Wet-Mesic Lakeplain Prairie,24,-9999,-9999,24,235,255,0,0.921569000000000,1.000000000000000,0.000000000000000
1631,666732.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1632,625653.000000000000000,14210,Central Tallgrass Prairie,4,-9999,-9999,4,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000
1633,405425.000000000000000,14440,Eastern Boreal Floodplain,-9999,581,312,203,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1634,62248.000000000000000,14660,Great Lakes Wooded Dune and Swale,3715,536,-9999,468,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000
1635,5026822.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,-9999,429,67,58,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1636,1161264.000000000000000,14750,Laurentian-Acadian Floodplain Systems,-9999,435,68,59,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1637,6258222.000000000000000,14770,Boreal Acidic Peatland Systems,716,-9999,123,105,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1638,2860328.000000000000000,14790,Central Interior and Appalachian Swamp Systems,987,-9999,-9999,987,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1639,16974315.000000000000000,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,989,-9999,-9999,989,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1640,199331.000000000000000,14920,Great Lakes Coastal Marsh Systems,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
