"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","SI_FRG"
"56",1178,1616,457795,13023,51,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood",1016,-9999,-9999,1016,100,-9999,-9999,"V-B",38,105,0,0.14902,0.411765,0,"Rare"
"57",1179,1617,8359463,13100,51,"13100_51","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",161,160,11,9,6,6,88,"I-B",176,163,222,0.690196,0.639216,0.870588,"Frequent"
"58",1180,1618,3073323,13110,51,"13110_51","North-Central Interior Dry Oak Forest and Woodland","Hardwood",137,111,11,9,7,8,85,"I-B",179,207,143,0.701961,0.811765,0.560784,"Frequent"
"59",1181,1619,28572676,13130,51,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,-9999,836,456,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,"Rare"
"60",1182,1620,2945141,13441,51,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Conifer",34,64,7,5,15,8,77,"I-A",255,140,140,1,0.54902,0.54902,"Frequent"
"61",1183,1621,301243,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,-9999,-9999,112,100,-9999,-9999,"IV-B",135,200,114,0.529412,0.784314,0.447059,"Intermediate"
"62",1184,1622,14312668,13620,51,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,"Intermediate"
"63",1185,1623,5701033,13651,51,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",490,524,-9999,253,52,48,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,"Rare"
"64",1186,1624,3311834,13652,51,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",872,1306,-9999,523,60,40,-9999,"V-B",110,137,70,0.431373,0.537255,0.27451,"Rare"
"65",1187,1625,8648918,13660,51,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,"Intermediate"
"66",1188,1626,1060087,13940,51,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"67",1189,1627,6853868,13950,51,"13950_51","North-Central Oak Barrens","Hardwood",49,180,6,5,10,3,87,"I-A",255,235,176,1,0.921569,0.690196,"Frequent"
"68",1190,1628,4695041,14071,51,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,4,6,90,"I-A",153,66,0,0.6,0.258824,0,"Frequent"
"69",1191,1629,611876,14072,51,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,"Frequent"
"70",1192,1630,637888,14110,51,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,-9999,-9999,24,100,-9999,-9999,"II-C",235,255,0,0.921569,1,0,"Frequent"
"71",1193,1631,311396,14120,51,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,"Frequent"
"72",1194,1632,519737,14210,51,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,"Frequent"
